,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_aggr_hier[Bernard Tomic],0.779,0.138,0.513,1.033,0.001,0.002,15865.0,5951.0,1.0
beta_aggr_hier[Botic Van De Zandschulp],0.801,0.159,0.501,1.103,0.001,0.002,19859.0,6039.0,1.0
beta_aggr_hier[Brandon Nakashima],0.722,0.145,0.436,0.982,0.001,0.002,14918.0,6256.0,1.0
beta_aggr_hier[Cameron Norrie],0.756,0.128,0.516,1.0,0.001,0.001,15789.0,6914.0,1.0
beta_aggr_hier[Carlos Alcaraz],0.57,0.109,0.357,0.767,0.001,0.001,11935.0,6085.0,1.0
beta_aggr_hier[Christopher Eubanks],0.725,0.131,0.484,0.978,0.001,0.001,14672.0,6529.0,1.0
beta_aggr_hier[Cristian Garin],0.723,0.131,0.474,0.962,0.001,0.001,16883.0,6849.0,1.0
beta_aggr_hier[Daniel Elahi Galan],0.838,0.157,0.562,1.155,0.001,0.002,17336.0,6272.0,1.0
beta_aggr_hier[Daniil Medvedev],0.872,0.112,0.653,1.073,0.001,0.001,12760.0,6432.0,1.0
beta_aggr_hier[David Goffin],0.779,0.11,0.576,0.987,0.001,0.001,12478.0,6985.0,1.0
beta_aggr_hier[Denis Shapovalov],0.871,0.124,0.627,1.094,0.001,0.001,13072.0,6096.0,1.0
beta_aggr_hier[Dominic Thiem],0.872,0.154,0.6,1.188,0.001,0.002,16984.0,5927.0,1.0
beta_aggr_hier[Ernests Gulbis],0.749,0.15,0.463,1.022,0.001,0.002,16740.0,6315.0,1.0
beta_aggr_hier[Felix Auger Aliassime],0.807,0.138,0.535,1.062,0.001,0.002,16005.0,6589.0,1.0
beta_aggr_hier[Fernando Verdasco],0.703,0.147,0.423,0.979,0.001,0.002,14865.0,6083.0,1.0
beta_aggr_hier[Frances Tiafoe],0.751,0.144,0.489,1.031,0.001,0.002,17077.0,6096.0,1.0
beta_aggr_hier[Gael Monfils],0.857,0.153,0.568,1.146,0.001,0.002,18050.0,6245.0,1.0
beta_aggr_hier[Gilles Muller],0.852,0.125,0.622,1.092,0.001,0.001,13160.0,6527.0,1.0
beta_aggr_hier[Gilles Simon],0.86,0.142,0.593,1.126,0.001,0.002,17152.0,5781.0,1.0
beta_aggr_hier[Giovanni Mpetshi Perricard],0.799,0.15,0.518,1.085,0.001,0.002,16503.0,6437.0,1.0
beta_aggr_hier[Grigor Dimitrov],0.757,0.137,0.492,1.01,0.001,0.002,17086.0,6569.0,1.0
beta_aggr_hier[Guido Pella],0.655,0.133,0.388,0.888,0.001,0.002,12923.0,6340.0,1.0
beta_aggr_hier[Holger Rune],0.763,0.135,0.509,1.016,0.001,0.002,17149.0,5975.0,1.0
beta_aggr_hier[Hubert Hurkacz],0.876,0.12,0.65,1.105,0.001,0.001,13506.0,6525.0,1.0
beta_aggr_hier[Ilya Ivashka],0.704,0.163,0.404,1.022,0.001,0.002,14088.0,5646.0,1.0
beta_aggr_hier[Jannik Sinner],0.949,0.115,0.739,1.166,0.001,0.001,10626.0,7006.0,1.0
beta_aggr_hier[Jason Kubler],0.733,0.152,0.432,0.997,0.001,0.002,15667.0,6332.0,1.0
beta_aggr_hier[Jiri Lehecka],0.747,0.161,0.451,1.059,0.001,0.002,18340.0,5962.0,1.0
beta_aggr_hier[Jiri Vesely],0.709,0.138,0.443,0.96,0.001,0.002,14738.0,6309.0,1.0
beta_aggr_hier[Jo Wilfried Tsonga],0.751,0.144,0.475,1.021,0.001,0.002,19051.0,6193.0,1.0
beta_aggr_hier[Joao Sousa],0.693,0.162,0.379,0.992,0.001,0.002,15145.0,6039.0,1.0
beta_aggr_hier[John Isner],1.07,0.141,0.811,1.339,0.002,0.001,7827.0,6726.0,1.0
